Latitude (decimal degrees):	57.479
Longitude (decimal degrees):	-4.222
Elevation (m):	21
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,0.17,2.14,0.0
20230101:0111,0.0,0.0,0.0,0.38,1.93,0.0
20230101:0211,0.0,0.0,0.0,0.32,1.86,0.0
20230101:0311,0.0,0.0,0.0,0.06,1.59,0.0
20230101:0411,0.0,0.0,0.0,-0.36,1.31,0.0
20230101:0511,0.0,0.0,0.0,-1.01,1.38,0.0
20230101:0611,0.0,0.0,0.0,-0.94,1.24,0.0
20230101:0711,0.0,0.0,0.0,-0.02,1.31,0.0
20230101:0811,0.0,0.0,0.0,0.11,1.17,0.0
20230101:0911,0.0,0.0,0.0,0.17,1.03,0.0
20230101:1011,0.02,5.56,5.1,0.17,0.69,0.0
20230101:1111,25.34,42.51,8.22,0.45,0.41,0.0
20230101:1211,15.9,30.59,9.49,0.55,0.34,0.0
20230101:1311,11.77,25.03,8.8,0.65,0.55,0.0
20230101:1411,0.02,5.56,6.22,0.83,0.83,0.0
20230101:1511,0.0,0.87,1.94,0.65,1.03,0.0
20230101:1611,0.0,0.0,0.0,0.17,1.38,0.0
20230101:1711,0.0,0.0,0.0,0.06,1.52,0.0
20230101:1811,0.0,0.0,0.0,-0.08,1.66,0.0
20230101:1911,0.0,0.0,0.0,0.34,2.07,0.0
20230101:2011,0.0,0.0,0.0,0.0,2.0,0.0
20230101:2111,0.0,0.0,0.0,-0.11,1.93,0.0
20230101:2211,0.0,0.0,0.0,-0.3,2.0,0.0
20230101:2311,0.0,0.0,0.0,-0.29,1.93,0.0
20230102:0011,0.0,0.0,0.0,-0.47,1.93,0.0
20230102:0111,0.0,0.0,0.0,-0.74,1.86,0.0
20230102:0211,0.0,0.0,0.0,-1.27,1.93,0.0
20230102:0311,0.0,0.0,0.0,-2.06,2.14,0.0
20230102:0411,0.0,0.0,0.0,-2.48,2.21,0.0
20230102:0511,0.0,0.0,0.0,-2.41,2.28,0.0
20230102:0611,0.0,0.0,0.0,-2.32,2.28,0.0
20230102:0711,0.0,0.0,0.0,-1.76,2.41,0.0
20230102:0811,0.0,0.0,0.0,-1.55,2.41,0.0
20230102:0911,0.0,0.0,0.0,-1.46,2.48,0.0
20230102:1011,159.78,191.61,5.15,-0.91,2.41,0.0
20230102:1111,228.95,267.53,8.29,0.14,2.55,0.0
20230102:1211,178.82,212.32,9.57,0.32,2.76,0.0
20230102:1311,138.42,169.12,8.9,1.32,2.69,0.0
20230102:1411,5.41,15.76,6.33,1.52,2.62,0.0
20230102:1511,0.0,0.87,2.05,1.07,2.55,0.0
20230102:1611,0.0,0.0,0.0,0.34,2.48,0.0
20230102:1711,0.0,0.0,0.0,-0.14,2.48,0.0
20230102:1811,0.0,0.0,0.0,-0.3,2.48,0.0
20230102:1911,0.0,0.0,0.0,0.03,2.41,0.0
20230102:2011,0.0,0.0,0.0,0.15,2.48,0.0
20230102:2111,0.0,0.0,0.0,0.34,2.62,0.0
20230102:2211,0.0,0.0,0.0,0.41,2.69,0.0
20230102:2311,0.0,0.0,0.0,0.28,2.62,0.0
20230103:0011,0.0,0.0,0.0,0.39,2.76,0.0
20230103:0111,0.0,0.0,0.0,0.52,2.97,0.0
20230103:0211,0.0,0.0,0.0,0.6,3.17,0.0
20230103:0311,0.0,0.0,0.0,0.75,3.24,0.0
20230103:0411,0.0,0.0,0.0,0.74,3.1,0.0
20230103:0511,0.0,0.0,0.0,0.92,2.9,0.0
20230103:0611,0.0,0.0,0.0,1.22,3.1,0.0
20230103:0711,0.0,0.0,0.0,1.9,3.86,0.0
20230103:0811,0.0,0.0,0.0,2.04,3.86,0.0
20230103:0911,0.0,0.0,0.0,2.17,4.14,0.0
20230103:1011,132.49,163.53,5.21,2.46,4.21,0.0
20230103:1111,211.45,250.12,8.36,2.72,3.59,0.0
20230103:1211,70.36,95.22,9.66,3.07,2.76,0.0
20230103:1311,106.18,135.27,9.01,3.49,2.21,0.0
20230103:1411,0.37,6.49,6.44,3.51,1.93,0.0
20230103:1511,0.0,2.62,2.18,3.48,1.52,0.0
20230103:1611,0.0,0.0,0.0,2.94,1.31,0.0
20230103:1711,0.0,0.0,0.0,2.35,1.03,0.0
20230103:1811,0.0,0.0,0.0,2.5,0.83,0.0
20230103:1911,0.0,0.0,0.0,2.58,0.83,0.0
20230103:2011,0.0,0.0,0.0,2.85,0.69,0.0
20230103:2111,0.0,0.0,0.0,3.12,0.55,0.0
20230103:2211,0.0,0.0,0.0,3.31,0.21,0.0
20230103:2311,0.0,0.0,0.0,3.32,0.21,0.0
20230104:0011,0.0,0.0,0.0,3.21,0.48,0.0
20230104:0111,0.0,0.0,0.0,3.2,0.34,0.0
20230104:0211,0.0,0.0,0.0,3.19,0.48,0.0
20230104:0311,0.0,0.0,0.0,2.35,0.97,0.0
20230104:0411,0.0,0.0,0.0,2.34,1.38,0.0
20230104:0511,0.0,0.0,0.0,2.7,1.66,0.0
20230104:0611,0.0,0.0,0.0,3.17,2.0,0.0
20230104:0711,0.0,0.0,0.0,3.64,2.14,0.0
20230104:0811,0.0,0.0,0.0,3.84,2.0,0.0
20230104:0911,0.0,0.0,0.0,3.89,1.93,0.0
20230104:1011,7.73,19.47,5.28,3.94,2.0,0.0
20230104:1111,15.62,30.59,8.45,4.16,2.14,0.0
20230104:1211,131.79,164.1,9.76,4.24,2.21,0.0
20230104:1311,78.04,104.33,9.12,4.39,2.48,0.0
20230104:1411,5.9,16.69,6.57,4.41,2.62,0.0
20230104:1511,18.55,34.53,2.31,4.05,2.69,0.0
20230104:1611,0.0,0.0,0.0,3.99,2.76,0.0
20230104:1711,0.0,0.0,0.0,4.13,2.83,0.0
20230104:1811,0.0,0.0,0.0,4.24,2.97,0.0
20230104:1911,0.0,0.0,0.0,4.31,2.83,0.0
20230104:2011,0.0,0.0,0.0,4.41,2.76,0.0
20230104:2111,0.0,0.0,0.0,4.31,2.55,0.0
20230104:2211,0.0,0.0,0.0,4.07,2.34,0.0
20230104:2311,0.0,0.0,0.0,3.81,2.28,0.0
20230105:0011,0.0,0.0,0.0,3.64,2.41,0.0
20230105:0111,0.0,0.0,0.0,3.56,2.55,0.0
20230105:0211,0.0,0.0,0.0,3.26,2.41,0.0
20230105:0311,0.0,0.0,0.0,3.01,2.34,0.0
20230105:0411,0.0,0.0,0.0,2.63,2.28,0.0
20230105:0511,0.0,0.0,0.0,2.28,2.28,0.0
20230105:0611,0.0,0.0,0.0,1.9,2.21,0.0
20230105:0711,0.0,0.0,0.0,2.55,1.86,0.0
20230105:0811,0.0,0.0,0.0,2.32,1.72,0.0
20230105:0911,0.0,0.0,0.0,2.05,1.59,0.0
20230105:1011,64.41,88.16,5.36,1.72,1.38,0.0
20230105:1111,61.3,84.89,8.54,2.35,1.31,0.0
20230105:1211,6.54,17.62,9.87,3.07,1.31,0.0
20230105:1311,20.62,37.08,9.24,3.44,1.38,0.0
20230105:1411,4.21,13.91,6.7,3.55,1.79,0.0
20230105:1511,0.0,1.85,2.45,3.85,2.0,0.0
20230105:1611,0.0,0.0,0.0,4.49,2.55,0.0
20230105:1711,0.0,0.0,0.0,5.58,3.52,0.0
20230105:1811,0.0,0.0,0.0,6.67,4.97,0.0
20230105:1911,0.0,0.0,0.0,7.27,5.79,0.0
20230105:2011,0.0,0.0,0.0,6.29,5.93,0.0
20230105:2111,0.0,0.0,0.0,5.5,5.86,0.0
20230105:2211,0.0,0.0,0.0,5.06,5.93,0.0
20230105:2311,0.0,0.0,0.0,4.99,6.21,0.0
20230106:0011,0.0,0.0,0.0,4.99,6.48,0.0
20230106:0111,0.0,0.0,0.0,5.04,7.1,0.0
20230106:0211,0.0,0.0,0.0,5.3,7.72,0.0
20230106:0311,0.0,0.0,0.0,5.07,8.34,0.0
20230106:0411,0.0,0.0,0.0,4.96,8.62,0.0
20230106:0511,0.0,0.0,0.0,5.08,8.34,0.0
20230106:0611,0.0,0.0,0.0,5.02,8.0,0.0
20230106:0711,0.0,0.0,0.0,5.11,7.66,0.0
20230106:0811,0.0,0.0,0.0,5.07,7.31,0.0
20230106:0911,0.0,0.0,0.0,4.82,7.03,0.0
20230106:1011,71.53,96.83,5.44,4.71,6.69,0.0
20230106:1111,131.04,162.57,8.64,4.91,6.34,0.0
20230106:1211,399.9,465.15,9.98,5.25,5.93,0.0
